"id","A4_sum","B19_sum","B5_sum","B2_sum","C46_sum","C3_sum","C47a_sum","C1_sum","C45_sum","C42_sum","D1_sum","host_phylum","host_class","host_order","host_family","host_genus","host_species","site","area","reef_bay","collection_latitude","collection_longitude","collection_date","collection_year","collection_month","collection_depth","site_zone","number","no_sp","no_sp_lo","full_sample_id","m_y","m_y_s_z","sample_full","dominant_type","minor_type"
"B1",0,0,0,0,0,1,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","3/1/20","2020","March","5","SM_reef","61","61_siderea","61_siderea_SM_reef","61SSSMRMarch2020","March 2020","March_2020_SM_reef","SM_reef_B1_March_2020","C3",NA
"B10",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","73","73_radians","73_radians_SM_bay","73SRSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_B10_March_2020","C46",NA
"B11",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","89","89_radians","89_radians_SM_bay","89SRSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_B11_March_2020","C46",NA
"B12",0,0.00832259982165857,0,0,0.991677400178341,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","90","90_radians","90_radians_SM_bay","90SRSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_B12_March_2020","C46","B19"
"B2",0,0.0202791860545871,0,0,0,0,0,0,0,0,0.979720813945413,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","3/1/20","2020","March","5","SM_reef","62","62_siderea","62_siderea_SM_reef","62SSSMRMarch2020","March 2020","March_2020_SM_reef","SM_reef_B2_March_2020","D1","B19"
"B3",0,0,0,0,0,0,0,0.96590391856664,0,0,0.0340960814333595,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","3/1/20","2020","March","5","SM_reef","63","63_siderea","63_siderea_SM_reef","63SSSMRMarch2020","March 2020","March_2020_SM_reef","SM_reef_B3_March_2020","C1","D1"
"B4",0,0,0,0,0,0.680770515532791,0,0,0,0,0.319229484467209,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","3/1/20","2020","March","5","SM_reef","64","64_siderea","64_siderea_SM_reef","64SSSMRMarch2020","March 2020","March_2020_SM_reef","SM_reef_B4_March_2020",NA,"C3"
"B5",0,0.00732624693376942,0,0,0.992673753066231,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","75","75_radians","75_radians_SW_bay","75SRSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_B5_March_2020","C46","B19"
"B6",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","79","79_radians","79_radians_SW_bay","79SRSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_B6_March_2020","C46",NA
"B7",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","80","80_radians","80_radians_SW_bay","80SRSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_B7_March_2020","C46",NA
"B8",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","84","84_radians","84_radians_SW_bay","84SRSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_B8_March_2020","C46",NA
"B9",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","98","98_radians","98_radians_SW_bay","98SRSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_B9_March_2020","C46",NA
"C1",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","92","92_radians","92_radians_SM_bay","92SRSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_C1_March_2020","C46",NA
"C10",0,0.0363737663164597,0,0,0,0,0,0,0,0,0.96362623368354,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","35","35_siderea","35_siderea_SM_bay","35SSSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_C10_November_2020","D1","B19"
"C11",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","37","37_siderea","37_siderea_SM_bay","37SSSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_C11_November_2020","D1",NA
"C12",0,0,0,0,0,0,0,0.622247802427794,0,0,0.377752197572206,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","70","70_siderea","70_siderea_SM_bay","70SSSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_C12_November_2020",NA,"C1"
"C2",0,0.0142762771579565,0,0,0,0,0,0,0,0,0.985723722842043,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","56","56_siderea","56_siderea_SW_bay","56SSSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_C2_November_2020","D1","B19"
"C3",0,0.0241594417424403,0,0,0,0,0,0.123599069570734,0,0,0.852241488686826,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","77","77_siderea","77_siderea_SW_bay","77SSSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_C3_November_2020","D1","B19"
"C4",0,0,0,0,0.00540192194696639,0,0,0,0,0,0.994598078053034,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","83","83_siderea","83_siderea_SW_bay","83SSSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_C4_November_2020","D1","C46"
"C5",0,0.0335316960676466,0,0,0,0,0,0,0,0,0.966468303932354,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","95","95_siderea","95_siderea_SW_bay","95SSSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_C5_November_2020","D1","B19"
"C6",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/20","2020","November","5","SW_reef","49","49_siderea","49_siderea_SW_reef","49SSDBNovember2020","November 2020","November_2020_SW_reef","SW_reef_C6_November_2020","D1",NA
"C7",0,0,0,0,0,0.555765512392336,0,0,0,0,0.444234487607664,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/20","2020","November","5","SW_reef","85","85_siderea","85_siderea_SW_reef","85SSDBNovember2020","November 2020","November_2020_SW_reef","SW_reef_C7_November_2020",NA,"C3"
"C8",0,0,0,0,0,0.0306634454562349,0,0,0,0.000520349377439138,0.968816205166326,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/20","2020","November","5","SW_reef","96","96_siderea","96_siderea_SW_reef","96SSDBNovember2020","November 2020","November_2020_SW_reef","SW_reef_C8_November_2020","D1","C3"
"C9",0,0,0,0,0,0.882145408583833,0,0,0,0,0.117854591416167,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/20","2020","November","5","SW_reef","97","97_siderea","97_siderea_SW_reef","97SSDBNovember2020","November 2020","November_2020_SW_reef","SW_reef_C9_November_2020","C3","D1"
"D1",0,0.167137540673772,0,0,0,0,0,0,0,0,0.832862459326228,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","82","82_siderea","82_siderea_SM_bay","82SSSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_D1_November_2020","D1","B19"
"D10",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","84","84_radians","84_radians_SW_bay","84SRSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_D10_November_2020","C46",NA
"D11",0,0,0.208452084649807,0,0.791547915350193,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","98","98_radians","98_radians_SM_bay","98SRSWBNovember2020","November 2020","November_2020_SM_bay","SM_bay_D11_November_2020","C46","B5"
"D12",0,0,0,0,0.0816855628216538,0,0,0.918314437178346,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","44","44_radians","44_radians_SM_bay","44SRSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_D12_November_2020","C1","C46"
"D2",0,0,0,0,0,1,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","42","42_siderea","42_siderea_SM_reef","42SSSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_D2_November_2020","C3",NA
"D3",0,0,0,0,0,1,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","43","43_siderea","43_siderea_SM_reef","43SSSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_D3_November_2020","C3",NA
"D4",0,0,0,0,0,0,0,0.991658488714426,0,0,0.00834151128557409,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","63","63_siderea","63_siderea_SM_reef","63SSSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_D4_November_2020","C1","D1"
"D5",0,0,0,0,0,0.629680143487034,0,0,0,0,0.370319856512966,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","64","64_siderea","64_siderea_SM_reef","64SSSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_D5_November_2020",NA,"C3"
"D6",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","91","91_radians","91_radians_SW_bay","91SRSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_D6_November_2020","C46",NA
"D7",0,0.0477733598409543,0,0,0.952226640159046,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","75","75_radians","75_radians_SW_bay","75SRSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_D7_November_2020","C46","B19"
"D8",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","79","79_radians","79_radians_SW_bay","79SRSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_D8_November_2020","C46",NA
"D9",0,0.0113546042920404,0,0,0.98864539570796,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","80","80_radians","80_radians_SW_bay","80SRSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_D9_November_2020","C46","B19"
"E1",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","60","60_radians","60_radians_SM_bay","60SRSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_E1_November_2020","C46",NA
"E10",0.620766006800749,0,0,0,0,0,0.379233993199251,0,0,0,0,"cnidaria","anthozoa","scleractinia","Poritidae","Porites","porites","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","32","32_porites","32_porites_SM_reef","32PPSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_E10_November_2020",NA,"A4"
"E11",0,0,0,0,0,0,0,0,0,1,0,"cnidaria","anthozoa","scleractinia","Poritidae","Porites","porites","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","47","47_porites","47_porites_SM_reef","47PPSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_E11_November_2020","C42",NA
"E12",0.207287482413392,0,0,0,0,0,0,0,0.557286462899904,0.235426054686703,0,"cnidaria","anthozoa","scleractinia","Poritidae","Porites","porites","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","57","57_porites","57_porites_SM_reef","57PPSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_E12_November_2020",NA,"A4"
"E2",0,0.00444388014220416,0.0676422041645505,0,0.927913915693245,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","70","70_radians","70_radians_SM_bay","70SRSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_E2_November_2020","C46","B19"
"E3",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","73","73_radians","73_radians_SM_bay","73SRSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_E3_November_2020","C46",NA
"E4",1,0,0,0,0,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Poritidae","Porites","porites","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","24","24_porites","24_porites_SM_bay","24PPSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_E4_November_2020","A4",NA
"E5",0.993310129195918,0,0,0,0.000353961418205416,0,0,0,0,0.00633590938587694,0,"cnidaria","anthozoa","scleractinia","Poritidae","Porites","porites","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","25","25_porites","25_porites_SM_bay","25PPSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_E5_November_2020","A4","C46"
"E6",0.92929659173314,0,0,0,0,0,0,0,0,0.07070340826686,0,"cnidaria","anthozoa","scleractinia","Poritidae","Porites","porites","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","26","26_porites","26_porites_SM_bay","26PPSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_E6_November_2020","A4","C42"
"E7",1,0,0,0,0,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Poritidae","Porites","porites","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","50","50_porites","50_porites_SM_bay","50PPSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_E7_November_2020","A4",NA
"E8",1,0,0,0,0,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Poritidae","Porites","porites","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","51","51_porites","51_porites_SM_bay","51PPSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_E8_November_2020","A4",NA
"E9",0,0,0,0,0,0,1,0,0,0,0,"cnidaria","anthozoa","scleractinia","Poritidae","Porites","porites","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","28","28_porites","28_porites_SM_reef","28PPSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_E9_November_2020","C47a",NA
"F10",0,0.0196461153307591,0,0,0,0,0,0,0,0,0.980353884669241,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/21","2021","November","1","SM_bay","35","35_siderea","35_siderea_SM_bay","35SSSMBNovember2021","November 2021","November_2021_SM_bay","SM_bay_F10_November_2021","D1","B19"
"F11",0,0.00865117935930384,0,0.00824406503651307,0.000890562581104807,0.00557237729319865,0,0,0,0,0.97664181572988,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/21","2021","November","1","SM_bay","37","37_siderea","37_siderea_SM_bay","37SSSMBNovember2021","November 2021","November_2021_SM_bay","SM_bay_F11_November_2021","D1","B19"
"F12",0,0,0,0,0,0,0,0.340985930853964,0,0,0.659014069146036,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/21","2021","November","1","SM_bay","70","70_siderea","70_siderea_SM_bay","70SSSMBNovember2021","November 2021","November_2021_SM_bay","SM_bay_F12_November_2021",NA,"C1"
"F2",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/21","2021","November","1","SW_bay","59","59_siderea","59_siderea_SW_bay","59SSSWBNovember2021","November 2021","November_2021_SW_bay","SW_bay_F2_November_2021","D1",NA
"F3",0,0,0,0,0.00165178340990038,0,0,0.0543023796004749,0,0,0.944045836989625,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/21","2021","November","1","SW_bay","77","77_siderea","77_siderea_SW_bay","77SSSWBNovember2021","November 2021","November_2021_SW_bay","SW_bay_F3_November_2021","D1","C46"
"F4",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/21","2021","November","1","SW_bay","83","83_siderea","83_siderea_SW_bay","83SSSWBNovember2021","November 2021","November_2021_SW_bay","SW_bay_F4_November_2021","D1",NA
"F5",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/21","2021","November","1","SW_bay","95","95_siderea","95_siderea_SW_bay","95SSSWBNovember2021","November 2021","November_2021_SW_bay","SW_bay_F5_November_2021","D1",NA
"F6",0,0,0,0,0,0.926477511019814,0,0,0,0,0.0735224889801857,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/21","2021","November","5","SW_reef","69","69_siderea","69_siderea_SW_reef","69SSDBNovember2021","November 2021","November_2021_SW_reef","SW_reef_F6_November_2021","C3","D1"
"F7",0,0.0267165952543838,0,0,0,0.0163108054585389,0,0,0,0,0.956972599287077,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/21","2021","November","5","SW_reef","85","85_siderea","85_siderea_SW_reef","85SSDBNovember2021","November 2021","November_2021_SW_reef","SW_reef_F7_November_2021","D1","B19"
"F8",0,0,0,0,0,0.800995417917522,0,0,0,0,0.199004582082477,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/21","2021","November","5","SW_reef","96","96_siderea","96_siderea_SW_reef","96SSDBNovember2021","November 2021","November_2021_SW_reef","SW_reef_F8_November_2021","C3","D1"
"F9",0,0,0,0,0,0.900396669717972,0,0,0,0,0.0996033302820278,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/21","2021","November","5","SW_reef","97","97_siderea","97_siderea_SW_reef","97SSDBNovember2021","November 2021","November_2021_SW_reef","SW_reef_F9_November_2021","C3","D1"
"G1",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/21","2021","November","1","SM_bay","82","82_siderea","82_siderea_SM_bay","82SSSMBNovember2021","November 2021","November_2021_SM_bay","SM_bay_G1_November_2021","D1",NA
"G10",0,0.0103151862464183,0,0,0.989684813753582,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","11/1/21","2021","November","1","SM_bay","44","44_radians","44_radians_SM_bay","44SRSMBNovember2021","November 2021","November_2021_SM_bay","SM_bay_G10_November_2021","C46","B19"
"G11",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","11/1/21","2021","November","1","SM_bay","73","73_radians","73_radians_SM_bay","73SRSMBNovember2021","November 2021","November_2021_SM_bay","SM_bay_G11_November_2021","C46",NA
"G12",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","11/1/21","2021","November","1","SM_bay","88","88_radians","88_radians_SM_bay","88SRSMBNovember2021","November 2021","November_2021_SM_bay","SM_bay_G12_November_2021","C46",NA
"G2",0,0,0,0,0,1,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","11/1/21","2021","November","5","SM_reef","42","42_siderea","42_siderea_SM_reef","42SSSMRNovember2021","November 2021","November_2021_SM_reef","SM_reef_G2_November_2021","C3",NA
